挪威的森林,,,https://book.douban.com/subject/1046265/,,,[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-2 / 18.80元,,,8.0,,,199936
被占的宅子:科塔萨尔短篇小说全集1,,,https://book.douban.com/subject/26703649/,,,[阿根廷] 胡利奥·科塔萨尔 / 陶玉平、李静、莫娅妮 / 南海出版公司 / 2017-3-1 / 49.5,,,8.4,,,970
心是孤独的猎手,,,https://book.douban.com/subject/1424741/,,,[美] 卡森·麦卡勒斯 / 陈笑黎 / 上海三联书店 / 2005-8 / 25.00元,,,8.5,,,23837
边城,,,https://book.douban.com/subject/1057244/,,,沈从文、黄永玉 卓雅 插图. / 北岳文艺出版社 / 2002-4 / 12.00元,,,8.6,,,78443
永恒的边缘:世纪三部曲3,,,https://book.douban.com/subject/27025715/,,,[英] 肯·福莱特 / 陈杰 / 江苏凤凰文艺出版社 / 2017-5 / 168.00（全三册）,,,7.8,,,5197
强风吹拂,,,https://book.douban.com/subject/26210487/,,,三浦紫苑 / 林佩瑾、李建铨、杨正敏 / 广西师范大学出版社 / 2015-1-1 / 39.00元,,,9.0,,,3870
1Q84BOOK1:4月～6月,,,https://book.douban.com/subject/4742918/,,,[日] 村上春树 / 施小炜 / 南海出版公司 / 2010-5 / 36.00元,,,8.3,,,82655
海风中失落的血色馈赠,,,https://book.douban.com/subject/26357614/,,,[加拿大] 阿利斯泰尔·麦克劳德 / 陈以侃 / 上海文艺出版社 / 2015-6 / 20.00元,,,9.0,,,3581
佛罗伦萨的神女,,,https://book.douban.com/subject/26900889/,,,[英] 萨曼·鲁西迪 / 刘凯芳 / 北京燕山出版社 / 2017-1-1 / 45.00元,,,8.4,,,987
没有你，什么都不甜蜜:冰岛三部曲·1,,,https://book.douban.com/subject/27020528/,,,[冰岛] 约恩·卡尔曼·斯特凡松 / 李静滢 / 九州出版社 / 2017-5 / 45.00元,,,7.8,,,409
时光倒流的女孩,,,https://book.douban.com/subject/26998358/,,,[美] 加·泽文 / 路旦俊、胡泽刚 / 江苏凤凰文艺出版社 / 2017-5-20 / 38.00,,,7.9,,,2194
清明上河图密码:隐藏在千古名画中的阴谋与杀局,,,https://book.douban.com/subject/26265745/,,,冶文彪 / 北京联合出版公司 / 2015-1-1 / 49.90元,,,8.2,,,9454
我遇见了人类,,,https://book.douban.com/subject/26811138/,,,[英] 马特·海格 / 李亚萍 / 北京联合出版公司 / 2017-5 / 42.00元,,,7.9,,,1000
查特莱夫人的情人,,,https://book.douban.com/subject/1039840/,,,[英] 劳伦斯 / 赵苏苏 / 人民文学出版社 / 2004-01 / 24.00元,,,7.6,,,6001
过于喧嚣的孤独,,,https://book.douban.com/subject/6781794/,,,(捷克) 赫拉巴尔 / 杨乐云 / 北京十月文艺出版社 / 2011-10 / 22.00元,,,8.8,,,7592
S.:忒修斯之船,,,https://book.douban.com/subject/26356515/,,,[美] J.J.艾布拉姆斯、[美] 道格·道斯特 / 颜湘如 / 中信出版集团 / 2016-6-6 / 168.00 元,,,7.9,,,3805
许三观卖血记,,,https://book.douban.com/subject/1029791/,,,余华 / 南海出版公司 / 1998-9 / 16.80元,,,8.7,,,72034
当我们谈论爱情时我们在谈论什么,,,https://book.douban.com/subject/4010969/,,,[美] 雷蒙德·卡佛 / 小二 / 译林出版社 / 2010-1 / 22.00元,,,7.8,,,34441
失明症漫记,,,https://book.douban.com/subject/20428302/,,,(葡)若泽·萨拉马戈 / 范维信 / 南海出版公司 / 2014-2 / 29.50,,,9.0,,,4439
陆犯焉识,,,https://book.douban.com/subject/6880158/,,,严歌苓 / 作家出版社 / 2011-10 / 35.00元,,,8.8,,,23573
喜宝,,,https://book.douban.com/subject/2022979/,,,亦舒 / 新世界出版社 / 2007-2 / 22.00元,,,8.0,,,46861
北方大道,,,https://book.douban.com/subject/27064644/,,,李静睿 / 理想国 | 广西师范大学出版社 / 2017-6 / 38,,,7.8,,,1875
一桩事先张扬的凶杀案,,,https://book.douban.com/subject/24382569/,,,[哥伦比亚] 加西亚·马尔克斯 / 魏然 / 南海出版公司 / 2013-6 / 25.00元,,,8.7,,,13434
生活与命运,,,https://book.douban.com/subject/26394018/,,,[俄罗斯] 瓦西里·格罗斯曼 / 力冈 / 广西师范大学出版社 / 2015-8-20 / 118.00元,,,9.3,,,909
十一种孤独,,,https://book.douban.com/subject/4105446/,,,（美）理查德·耶茨、Richard Yates / 陈新宇 / 上海译文出版社 / 2010-1 / 20.00元,,,8.2,,,15418
永恒的终结:关于时间旅行的终极奥秘和恢宏构想,,,https://book.douban.com/subject/25829693/,,,[美] 艾萨克·阿西莫夫 / 崔正男 / 江苏文艺出版社 / 2014-9-1 / 32.00元,,,9.0,,,14383
穆斯林的葬礼,,,https://book.douban.com/subject/1082334/,,,霍达 / 北京十月文艺出版社 / 1988-12-1 / 32.00,,,8.2,,,78092
一个陌生女人的来信,,,https://book.douban.com/subject/2154960/,,,[奥] 斯台芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 20.00元,,,8.7,,,49816
毛姆短篇小说精选集,,,https://book.douban.com/subject/10774752/,,,[英] 威廉·萨默塞特·毛姆 / 冯亦代、傅惟慈、陆谷孙、冯涛、翁如琏、李燕乔、黄昱宁、汤伟、屠珍、郑庆芝、贺广贤、王升印、恺蒂 / 译林出版社 / 2012-11 / 36.00元,,,9.1,,,5771
看不见的城市,,,https://book.douban.com/subject/1863930/,,,[意大利]伊塔洛·卡尔维诺 / 张宓 / 译林出版社 / 2006-8 / 16.00元,,,8.8,,,27688
面纱,,,https://book.douban.com/subject/10560798/,,,[英] W.萨默塞特·毛姆 / 阮景林 / 重庆出版社 / 2012-5 / 32.00元,,,8.7,,,16525
偷影子的人,,,https://book.douban.com/subject/10763902/,,,(法)马克·李维 / 段韵灵 / 湖南文艺出版社 / 2012-6-20 / 29.80元,,,7.8,,,59345
棋王,,,https://book.douban.com/subject/1020961/,,,阿城 / 作家出版社 / 1999-10 / 13.00,,,8.7,,,15356
钓鱼的男孩,,,https://book.douban.com/subject/26837288/,,,[尼日利亚] 奇戈希·奥比奥玛 / 吴晓真 / 湖南文艺出版社 / 2016-9 / 36.00元,,,8.3,,,2373
百年孤独,,,https://book.douban.com/subject/6082808/,,,[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元,,,9.2,,,140088
巨人的陨落:世纪三部曲,,,https://book.douban.com/subject/26698660/,,,[英] 肯·福莱特 / 于大卫 / 江苏凤凰文艺出版社 / 2016-5-1 / 129.80元,,,8.9,,,39434
1984,,,https://book.douban.com/subject/4820710/,,,[英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00,,,9.3,,,50801
追风筝的人,,,https://book.douban.com/subject/1770782/,,,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元,,,8.9,,,329417
二手时间,,,https://book.douban.com/subject/26704403/,,,[白俄] S.A.阿列克谢耶维奇 / 吕宁思 / 中信出版社 / 2016-1 / 55.00元,,,8.8,,,7752
霍乱时期的爱情,,,https://book.douban.com/subject/10594787/,,,[哥伦比亚] 加西亚·马尔克斯 / 杨玲 / 南海出版公司 / 2012-9-1 / 39.50元,,,9.0,,,77550
新名字的故事:那不勒斯四部曲-02,,,https://book.douban.com/subject/26986954/,,,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-4 / 59.00元,,,9.0,,,8567
雪落香杉树,,,https://book.douban.com/subject/5431784/,,,[美] 戴维·伽特森 / 熊裕 / 全本书店|作家出版社 / 2017-6 / 52.00元,,,8.5,,,3566
鱼王,,,https://book.douban.com/subject/26853356/,,,[俄] 维克托·阿斯塔菲耶夫 / 夏仲翼 等 / 理想国 | 广西师范大学出版社 / 2017-4 / 78.00元,,,9.0,,,1972
月亮和六便士,,,https://book.douban.com/subject/1858513/,,,[英] 毛姆 / 傅惟慈 / 上海译文出版社 / 2006-8 / 15.00元,,,9.0,,,83375
外婆的道歉信,,,https://book.douban.com/subject/27029890/,,,[瑞典] 弗雷德里克·巴克曼 / 孟汇一 / 天津人民出版社 / 2017-5 / 42.00元,,,8.0,,,8591
杀死一只知更鸟,,,https://book.douban.com/subject/6781808/,,,[美] 哈珀·李 / 高红梅 / 译林出版社 / 2012-9 / 32.00元,,,9.2,,,21910
活着为了讲述,,,https://book.douban.com/subject/26657570/,,,[哥伦比亚] 加西亚·马尔克斯 / 李静 / 南海出版公司 / 2016-4-1 / 55.00元,,,9.0,,,4233
世界的凛冬:世纪三部曲2,,,https://book.douban.com/subject/26957760/,,,[英] 肯·福莱特 / 陈杰 / 江苏凤凰文艺出版社 / 2017-3-1 / 132.00（全三册）,,,8.9,,,12420
斯通纳,,,https://book.douban.com/subject/26425831/,,,[美] 约翰·威廉斯 / 杨向荣 / 世纪文景/上海人民出版社 / 2016-1 / 39.00元,,,8.8,,,17507
